,,,,,c7->1,,c7->1,
,,,c3->1,,,,,
,,,,c5->1,c5->1,,,
,,c1->1,,,,,,
,c1->1,,,,,,,c7->1
,,,c4->1,c4->1,,,c6->1,
c3->1 ;c6->1,,,,,,,,
,,,,,,c2->1,c2->1,c2->1
c3->1,,,,,,,c2->1,c2->1
,c6->1,,,,,,,
,c4->1,,,c4->1,c2->1,,,
,,,,,,,,
,,c5->1,c6->1,,,,,
c5->1,,,,,,,,
c5->2,,,,,,,c1->1,
,c1->1,,,c1->1,,,,
c5->1,c3->1,,,,,,c7->1,
c5->1,,c3->2,c5->1,,,,,
,,,,,,,,c2->1
c4->1,,,c4->2,,,,,
,,,c4->2,,c6->1,,,c2->1
,,,,,,,,
,,,,,,,,
,,c1->1,c1->1,c5->1,,,c6->1,
,,,,,,,,
c7->1,,,c7->2,,c1->1,,c3->1,
,,,,,,,c5->1,c3->1
c6->1,c6->1,,,,,c2->2,c2->1,
,c4->1,,,,,,,
,,c4->1,,,,,,
,,,,,,,,
,c5->1,,c5->1,,,,c3->1,
,c5->1,,,,,c7->2,,
c3->1,,c5->1,,,,c7->1,,
,,,,c1->1,,,c7->1,
,,,,,c3->1,,,
,,,,,,c2->1,,
,c3->2,,,,,,c2->1,c2->1
,,,,c4->1,,,,c2->1
,c1->1,,,,,,c6->1,
,,,c4->1,,,c6->1,,c6->1
,,,,,,,,
,,,,,,,,
c5->1,,,,,c5->1,,,
c3->2,,c5->1,,c5->1,,c7->1,,
,,c5->1,,,,,,
,,,,,,c4->1,,
,c3->1,c1->1,,c3->1 ;c5->1,,,,c6->1
,,c1->1,,c1->1,c1->3,,,
,,,,,,,c4->1,
,c5->1,,,,,,,
,,,,,,,c2->1,c2->1
,,c7->1,,,,,,c2->1
,,,c7->1,,,,,
c6->1,,,,,,,c2->1,
c4->1,,,,,,,,
,,,,,,c2->1,,
,c4->1,,,c6->1,c3->2,,,
,,,,c3->1,c3->1,,,
,,,c1->1,,,,,
,,c1->2,,c1->2,,,,
,,,,c5->1,,,,
,,,,,,c7->1,c7->2,
,,c6->1,,,c2->1,,,c2->1
c6->1,,,,,,c2->1,c2->1,
,,,c4->1,,,,,
,,,,c4->1,,c6->1,,
,,,,,c5->1,,,
,,,,,c3->1,c6->1,,
,,,,,,,,
c7->2,c7->1,,,,,,c5->1,
,c7->1,,,,,,c3->1,c3->1
c6->1,,c6->1,,,,,c2->1,
,,,,c4->1,,c2->2,,
,,c4->1,c6->1,,,,,
,,,,,,,,
c5->1,,,,,,c3->1,,
,,,,c1->1,,,,c7->1
,,,,c1->1,,c5->1,,
,,,,,,,c7->1,
c3->1,,c5->1,,c3->1,,,,c7->1
,,,,,,,,
,,,,,,c2->1,c2->1,
c6->1,,,,,,,,
,,,,c5->2,c4->1,,c4->1,
c7->2,,,,c5->2,c5->1,,,
,,,,,c4->1,,,c3->2
,c7->1,,,,,c3->1,,
,,,,,,,,
,,,,,c3->2,,,
